Year,Number Dead,Total Crashes,Pct fatal
2003,10.0,4625,0.21621621621621623
2004,12.0,4269,0.28109627547434995
2005,9.0,3967,0.22687169145449962
2006,12.0,3937,0.3048006096012192
2007,3.0,4055,0.07398273736128237
2008,11.0,4341,0.2533978346003225
2009,7.0,4014,0.17438963627304435
2010,13.0,4060,0.32019704433497537
2011,9.0,3914,0.22994379151762903
2012,9.0,4223,0.2131186360407293
2013,4.0,3080,0.12987012987012986
2014,7.0,3289,0.2128306476132563
2015,7.0,4055,0.1726263871763255
2016,16.0,4061,0.39399162767791185
2017,10.0,3963,0.25233409033560433
2018,10.0,3963,0.25233409033560433
2019,5.0,3134,0.1595405232929164
2020,8.0,2365,0.3382663847780127
2021,10.0,3057,0.32711808963035655
2022,13.0,3646,0.35655512890839275
