_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
1,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,,,,W ROCK E RD,,,1300.0,W,,,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF RD,MOUNTZIONRDROCKEASTRD,NONE,2021-12-31 00:30:00,,,
2,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,,,,E SMITHVILLE RD,,,300.0,E,,,LOCAL/CITY RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF RD,POPULARESTSMITHVILLERD,LN CONTROL,2021-12-31 00:50:00,,,
3,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,ST RD 46,E 3RD ST,,0.0,,39.16433,-86.47207,LOCAL/CITY RD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO MAINTAIN LN,SAME DIRECTION SIDESWIPE,STATERD46E 3RDST,,2021-12-31 12:31:00,,,
4,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,7533,,,N CAPTAINS WAY,,,,,,,LOCAL/CITY RD,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,NON-RDWAY CRASH,GRAVEL,UNSAFE BACKING,BACKING CRASH,NCAPTAINSWAY,NONE,2021-12-31 22:15:00,,,
5,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W VERNAL PK,N OARD,,,,39.18115,-86.63723,COUNTY RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,Y-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,OARDRDVERNALPK,NONE,2021-12-30 02:41:00,,,
6,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,S CLARIZZ BLVD,ST RD 46,,0.0,,39.1642,-86.49084,LOCAL/CITY RD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SCLARIZZBLVDE 3RDST,,2021-12-30 14:36:00,,,
7,BLOOMINGTON PD,BLOOMINGTON,1,,0.0,0,0,500,,,S MULLER PKWY,,,0.0,,,,LOCAL/CITY RD,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF RD,500SMULLERPKWY,,2021-12-30 17:30:00,,,
8,BLOOMINGTON PD,BLOOMINGTON,1,,0.0,0,0,,,,INDIANA RAILRD,,,0.0,,39.172793432334494,-86.55876312359048,UNKNOWN,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,,OTHER - EXPLAIN IN NARRATIVE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF RD,WGRAYST,,2021-12-30 18:05:00,,,
9,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,E WYLIE ST,S WASHINGTON ST,,0.0,,39.15836,-86.53242,LOCAL/CITY RD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SWASHINGTONSTEWYLIEST,,2021-12-29 02:56:00,,,
10,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W 3RD ST,I-69 N,,,,39.16453,-86.57303,LOCAL/CITY RD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,INTERCHANGE,STRAIGHT/LEVEL,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF RD,STATERD69HWYW 3RDST,NONE,2021-12-29 03:45:00,,,
