Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime,Address Number,Cyclist Involved,Pedestrian Involved
MONROE SD,BLOOMINGTON,1,0.0,1.0,0.0,0,,,,N CURRY PK,,,1000.0,N,0.0,0.0,COUNTY RD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,NCURRYPKSTONEBRANCHDR,NONE,2020-01-01 02:50:00,,,
ISP BLOOMINGTON 33,CLEAR CREEK,2,,0.0,0.0,0,,,,E SMITHVILLE RD,S FAIRFAX RD,,0.0,S,39.071151,-86.503186,LOCAL/CITY RD,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,ESMITHVILLERDSFAIRFAXRD,,2020-01-01 11:45:00,,,
ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0.0,0,,Y,116C,I-69 S,W TAPP RD,,0.0,S,39.14079931,-86.57327764,INTERSTATE,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,RAMP,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,116.2I-69,,2020-01-01 12:10:00,,,
MONROE SD,ELLETTSVILLE,1,0.0,0.0,0.0,0,1724.0,,,N RIDGEWAY DR,W VALLEY VIEW DR (SE),,,,39.239952,-86.606704,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,RAN OFF RD RIGHT,RAN OFF RD,NRIDGEWAYDRWVALLEYVIEWDR,NONE,2020-01-01 13:09:00,,,
ISP BLOOMINGTON 33,BLOOMINGTON,1,,0.0,0.0,1,,,,I-69 N,,,898.0,W,39.07097394,-86.66467765,INTERSTATE,,RURAL,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,ANIMAL/OBJECT IN RDWAY,COLLISION WITH DEER,I-69I-69,,2020-01-01 17:20:00,,,
ISP BLOOMINGTON 33,BLOOMINGTON,2,,0.0,0.0,0,,,,W TAPP RD,S PINEHURST DR,,158.0,E,39.13642356,-86.54956095,LOCAL/CITY RD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,PINEHURSTDRWTAPPRD,,2020-01-02 11:02:00,,,
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2,1.0,0.0,0.0,0,,,,N EAGLESON AVE,E 7TH ST,,50.0,N,39.168944,-86.516016,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,INSECURE/LEAKY LOAD,COLLISION WITH OBJECT IN RD,E7THSTNEAGLESON AVEAVE,NONE,2020-01-02 11:45:00,,,
MONROE SD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,ST RD 45/46,N COLLEGE AVE,,,,39.186352,-86.534704,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,HEAD ON BETWEEN TWO MOTOR VEHICLES,NCOLLEGEAVEST RD 4546BYPASSRD,TRAFFIC CONTROL SIGNAL,2020-01-02 12:47:00,,,
MONROE SD,BLOOMINGTON,1,0.0,0.0,0.0,0,,,,S HARRELL RD,E MOFFETT LN,,,,39.0997,-86.49847,COUNTY RD,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,COLLISION WITH OBJECT IN RD,EASTMOFFETTLNSOUTHHARRELLRD,STOP SIGN,2020-01-02 13:14:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,0.0,0.0,0,,,,ST RD 45/46,N KINSER PK,,,,39.186544,-86.537888,ST RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,NKINSERPKST RD 46 W,TRAFFIC CONTROL SIGNAL,2020-01-02 14:50:00,,,
BLOOMINGTON PD,BLOOMINGTON,2,0.0,3.0,0.0,0,,,,ST RD 46,KINGSTON DR S,,,,39.16424,-86.492944,LOCAL/CITY RD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,LEFT TURN,E 3RDSTSKINGSTONAVE,TRAFFIC CONTROL SIGNAL,2020-01-03 11:00:00,,,
ISP BLOOMINGTON 33,ELLETTSVILLE,1,,0.0,0.0,0,,,,N UNION VALLEY RD,W RICHLAND PLAZA DR,,317.0,S,39.217147,-86.592748,LOCAL/CITY RD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,NO JUNCTION INVOLVED,,ASPHALT,BRAKE FAILURE OR DEFECTIVE,RAN OFF RD,NCRESTWOODDRNUNIONVALLEYRD,,2020-01-03 12:00:00,,,
