Agency,Local Code,County,Township,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control,DateTime,Address Number
INDIANA UNIV BLOOMINGTON PD,130859,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0,0,,EAGLESON AVE,AVE,,,,EAGLESON AVE,7TH,,,,Y,OTHER,,,39.168944,-86.516016,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,UNDER $1001,SAME DIRECTION SIDESWIPE,7THSTEAGLESON AVEAVE,1,STOP SIGN,2013-03-23 14:55:00,
INDIANA UNIV BLOOMINGTON PD,131282,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,10TH,ST,,,,10TH ST,RANGE,,,,Y,OTHER,,,39.171504,-86.495312,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,10THSTRANGERD,1,TRAFFIC CONTROL SIGNAL,2013-04-23 16:11:00,
BLOOMINGTON PD,11213031,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0,0,,WASHINGTON,ST,,,,WASHINGTON ST,2ND,,,,Y,OTHER,,,39.16136004,-86.53241001,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,UNDER $1001,RIGHT ANGLE,2NDSTWASHINGTONST,1,STOP SIGN,2013-01-12 01:24:00,
BLOOMINGTON PD,110613106,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0,0,,WALNUT ST,PK,,,,WALNUT ST PK,BURKS,,,,Y,OTHER,500.0,N,39.1783895,-86.5267197,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,SAME DIRECTION SIDESWIPE,BURKSDRWALNUTSTPK,1,LN CONTROL,2013-11-06 07:55:00,
INDIANA UNIV BLOOMINGTON PD,132332,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,SUNRISE,DR,,,,SUNRISE DR,10TH,,,,Y,OTHER,,,39.17157993,-86.51247985,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT/RIGHT TURN,10THSTSUNRISEDR,1,TRAFFIC CONTROL SIGNAL,2013-09-07 16:17:00,
BLOOMINGTON PD,103013061,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,2222 E 3RD,ST,,,,E 3RD ST,S ROOSERVELT,,,,Y,OTHER,25.0,W,39.163303,-86.50644483,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,2222E 3RDSTSROOSERVELTST,1,LN CONTROL,2013-10-30 07:54:00,2222
INDIANA UNIV BLOOMINGTON PD,132530,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,10TH,ST,,,,10TH ST,WOODLAWN,,,,Y,OTHER,,,39.17164028,-86.52349971,LOCAL/CITY RD,Y,N,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,10THSTWOODLAWNAVE,1,TRAFFIC CONTROL SIGNAL,2013-09-23 19:04:00,
INDIANA UNIV BLOOMINGTON PD,131437,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,,,ST RD 45,,,ST RD 45,,ST RD 46,,,Y,OTHER,1286.0,E,39.17152599,-86.49774101,ST RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,ST RD 45ST RD 46,1,LN CONTROL,2013-05-07 13:57:00,
BLOOMINGTON PD,82113210,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,LINCOLN,ST,,,,S LINCOLN ST,1ST,,,,Y,OTHER,400.0,N,39.17889057,-86.53084992,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,EFIRSTSTSLINCOLNST,1,NONE,2013-08-21 16:43:00,
INDIANA UNIV BLOOMINGTON PD,132541,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,3RD,ST,,,,3RD ST,HENDERSON,,,,Y,OTHER,,,39.16427777,-86.52588752,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LN USAGE,UNDER $1001,SAME DIRECTION SIDESWIPE,HENDERSONST3RDST,1,NONE,2013-09-24 17:31:00,
INDIANA UNIV BLOOMINGTON PD,132185,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,N DUNN,ST,,,,N DUNN ST,E 19TH,,,,Y,OTHER,,,39.18104,-86.5284,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,E19THSTNDUNNST,1,NONE,2013-08-29 19:45:00,
BLOOMINGTON PD,62513125,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,MORTON,ST,,,,MORTON ST,6TH,,,,Y,PRIVATE,75.0,N,39.16786999,-86.536,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,RIGHT ANGLE,6THSTMORTONST,1,NONE,2013-06-25 13:27:00,
INDIANA UNIV BLOOMINGTON PD,133603,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0,0,,RANGE RD,RD,,,,RANGE RD,45 46 BYPASS,,,,Y,OTHER,,,39.17579093,-86.50450378,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,4546BYPASSBYPRANGERDRD,1,NONE,2013-12-17 16:15:00,
MONROE SD,M14A1148,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0,0,315.0,W GORDON,PK,,,,W GORDON PK,,,,,N,PRIVATE,,,39.12154418,-86.53386009,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,WGORDONPK,1,NONE,2014-04-13 19:50:00,
BLOOMINGTON PD,52914165,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0,0,,COLLEGE,AVE,,,,COLLEGE AVE,11TH,,,,Y,OTHER,75.0,S,39.17302602,-86.53475422,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,11THSTCOLLEGEAVE,1,LN CONTROL,2014-05-29 11:48:00,
BLOOMINGTON PD,B1407976,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0,0,,E 2ND,ST,,,,E 2ND ST,WOODLAWN,,,,Y,OTHER,,,39.161312,-86.522576,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,,SAME DIRECTION SIDESWIPE,EAST2NDSTWOODLAWNAVE,1,STOP SIGN,2014-09-27 18:20:00,
BLOOMINGTON PD,90314084,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0,0,,E MILLER,DR,,,,E MILLER DR,S HENDERSON,,,,Y,OTHER,,,39.147152,-86.526896,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$1001 TO $2500,RIGHT ANGLE,EMILLERDRSHENDERSONST,1,STOP SIGN,2014-09-03 08:19:00,
INDIANA UNIV BLOOMINGTON PD,140476,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0,0,,DUNN,ST,,,,DUNN ST,19TH,,,,Y,OTHER,,,39.18104,-86.5284,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,$2501 TO $5000,RIGHT ANGLE,19THSTDUNNST,1,NONE,2014-02-13 10:35:00,
BLOOMINGTON PD,62914185,MONROE,VAN BUREN,BLOOMINGTON,1,0.0,1.0,0,0,,,,ST RD 45E,,,ST RD 45E,LIBERTY,,,,Y,OTHER,,,39.145152,-86.5776,ST RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,CURBED,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,$1001 TO $2500,SAME DIRECTION SIDESWIPE,LIBERTYDRST RD 45E,1,TRAFFIC CONTROL SIGNAL,2014-06-29 19:15:00,
