_id,Agency,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control,DateTime
1,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,,,,W ROCK EAST RD,,,1300.0,W,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,CURVE/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,MOUNTZIONRDROCKEASTRD,NONE,2021-12-31 00:30:00
2,MONROE SD,BLOOMINGTON,1,0.0,1.0,0,0,,,,E SMITHVILLE RD,,,300.0,E,,,LOCAL/CITY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,POPULARESTSMITHVILLERD,LANE CONTROL,2021-12-31 00:50:00
3,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,SR 46,E 3RD ST,,0.0,,39.16427789,-86.49838408,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO MAINTAIN LANE,SAME DIRECTION SIDESWIPE,STATERD46E3RDST,,2021-12-31 12:31:00
4,MONROE SD,BLOOMINGTON,2,0.0,0.0,0,0,7533,,,N CAPTAINS WAY,,,,,,,LOCAL/CITY ROAD,Y,RURAL,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,NO JUNCTION INVOLVED,NON-ROADWAY CRASH,GRAVEL,UNSAFE BACKING,BACKING CRASH,NCAPTAINSWAY,NONE,2021-12-31 22:15:00
5,MONROE SD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W VERNAL PIKE,N OARD RD,,,,39.181344,-86.637104,COUNTY ROAD,N,RURAL,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,Y-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,OARDRDVERNALPIKE,NONE,2021-12-30 02:41:00
6,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,S CLARIZZ BLVD,SR 46,,0.0,,39.16365591,-86.49068111,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SCLARIZZBLVDE3RDST,,2021-12-30 14:36:00
7,BLOOMINGTON PD,BLOOMINGTON,1,,0.0,0,0,500,,,S MULLER PKWY,,,0.0,,,,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,,NO JUNCTION INVOLVED,,ASPHALT,OVERCORRECTING/OVERSTEERING,RAN OFF ROAD,500SMULLERPKWY,,2021-12-30 17:30:00
8,BLOOMINGTON PD,BLOOMINGTON,1,,0.0,0,0,,,,INDIANA RAILROAD,,,0.0,,39.17280511,-86.55873603,UNKNOWN,,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,,NO JUNCTION INVOLVED,,OTHER - EXPLAIN IN NARRATIVE,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,RAN OFF ROAD,WGRAYST,,2021-12-30 18:05:00
9,BLOOMINGTON PD,BLOOMINGTON,2,,0.0,0,0,,,,E WYLIE ST,S WASHINGTON ST,,0.0,,39.1583534,-86.53239674,LOCAL/CITY ROAD,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,SWASHINGTONSTEWYLIEST,,2021-12-29 02:56:00
10,BLOOMINGTON PD,BLOOMINGTON,1,0.0,0.0,0,0,,,,W 3RD ST,I-69 N,,,,,,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,WET,,INTERCHANGE,STRAIGHT/LEVEL,ASPHALT,DRIVER ASLEEP OR FATIGUED,RAN OFF ROAD,STATEROAD69HWYW3RDST,NONE,2021-12-29 03:45:00
