Agency,Local Code,County,Township,City,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control,DateTime,Address Number
BLOOMINGTON PD,13113319,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,COVENANTER,DR,,,,COVENANTER DR,STRATUM,,,,Y,OTHER,,,1.0,1.0,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),SLEET/HAIL/FREEZING RAIN,ICE,NONE,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,COVENANTERDRSTRATUMWAY,1,NONE,2013-01-31 20:55:00,
MONROE SD,M13A490,MONROE,VAN BUREN,BLOOMINGTON,1,0.0,1.0,0.0,0.0,2911.0,S LEONARD SPRINGS,RD,,,,S LEONARD SPRINGS RD,,,,,N,PRIVATE,,,39.13514057,-86.58250286,OTHER,,Y,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,NON-COLLISION,SLEONARDSPRINGSRD,1,NONE,2013-02-19 21:15:00,
INDIANA UNIV BLOOMINGTON PD,130722,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,0.0,0.0,0.0,,ROSE,AVE,,,,ROSE AVE,JONES,,,,Y,OTHER,250.0,N,39.19172672,-86.51090003,LOCAL/CITY RD,,Y,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,IMPROPER PASSING,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,JONESAVEROSEAVE,1,NONE,2013-03-04 13:45:00,
BLOOMINGTON PD,70813223,MONROE,PERRY,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,HILLSIDE,DR,,,,E HILLSIDE DR,NANCY,,,,Y,OTHER,75.0,W,39.150544,-86.51135256,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,EHILLSIDEDRNANCYST,1,NO PASSING ZONE,2013-07-08 17:28:00,
BLOOMINGTON PD,72713230,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,9TH,ST,,,,E 9TH ST,WALNUT,,,,Y,OTHER,,,39.170544,-86.533536,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,E9THSTNWALNUTST,1,STOP SIGN,2013-07-27 19:20:00,
BLOOMINGTON PD,101513144,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,17TH,ST,,,,W 17TH ST,MONROE,,,,Y,OTHER,300.0,E,39.1792045,-86.54604821,LOCAL/CITY RD,,N,N,URBAN,Y,N,N,,DAYLIGHT,RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,930W17THSTMONROEST,1,NONE,2013-10-15 15:07:00,930
MONROE SD,M13A3270,MONROE,RICHLAND,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,,,ST RD 48W,,,ST RD 48W,PARK SQUARE,,,,N,OTHER,,,39.16424942,-86.5925064,ST RD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,RIGHT TURN,PARKSQUAREDRST RD 48W,1,TRAFFIC CONTROL SIGNAL,2013-10-24 15:08:00,
INDIANA UNIV BLOOMINGTON PD,140079,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,E LAW,LN,,,,E LAW LN,FEE,,,,Y,OTHER,,,39.17360135,-86.51666031,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,NONE,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,ELAWLNFEELN,1,NONE,2014-01-14 15:50:00,
BLOOMINGTON PD,12714136,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,15TH,ST,,,,15TH ST,N WALNUT,,,,Y,OTHER,,,39.176848,-86.533424,LOCAL/CITY RD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,LOOSE MATERIAL ON RD,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,15THSTNWALNUTST,1,STOP SIGN,2014-01-27 14:35:00,
BLOOMINGTON PD,20114010,MONROE,BLOOMINGTON,BLOOMINGTON,1,0.0,1.0,0.0,0.0,,S LINCOLN,,,,,S LINCOLN,KIRKWOOD,,,,Y,OTHER,,,39.16664,-86.530992,LOCAL/CITY RD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,KIRKWOODAVESLINCOLN,1,STOP SIGN,2014-01-31 23:10:00,
