Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
INDIANA UNIV BLOOMINGTON PD,130859,MONROE,BLOOMINGTON,BLOOMINGTON,3/23/13,2:55 PM,1,0,0,0,0,,JORDAN,AVE,,,,JORDAN AVE,7TH,,,,Y,OTHER,,,39.168944,-86.516016,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DISREGARD SIGNAL/REG SIGN,UNDER $1001,SAME DIRECTION SIDESWIPE,7THSTJORDANAVE,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,131282,MONROE,BLOOMINGTON,BLOOMINGTON,4/23/13,4:11 PM,1,0,1,0,0,,10TH,ST,,,,10TH ST,RANGE,,,,Y,OTHER,,,39.171504,-86.495312,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,10THSTRANGERD,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,11213031,MONROE,BLOOMINGTON,BLOOMINGTON,1/12/13,1:24 AM,1,0,0,0,0,,WASHINGTON,ST,,,,WASHINGTON ST,2ND,,,,Y,OTHER,,,39.16136004,-86.53241001,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,UNDER $1001,RIGHT ANGLE,2NDSTWASHINGTONST,1,STOP SIGN
BLOOMINGTON PD,110613106,MONROE,PERRY,BLOOMINGTON,11/6/13,7:55 AM,1,0,1,0,0,,WALNUT STREET,PIKE,,,,WALNUT STREET PIKE,BURKS,,,,Y,OTHER,500,N,39.1783895,-86.5267197,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,UNDER $1001,SAME DIRECTION SIDESWIPE,BURKSDRWALNUTSTREETPIKE,1,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,132332,MONROE,BLOOMINGTON,BLOOMINGTON,9/7/13,4:17 PM,1,0,1,0,0,,SUNRISE,DR,,,,SUNRISE DR,10TH,,,,Y,OTHER,,,39.17157993,-86.51247985,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT/RIGHT TURN,10THSTSUNRISEDR,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,103013061,MONROE,BLOOMINGTON,BLOOMINGTON,10/30/13,7:54 AM,1,0,1,0,0,,2222 E 3RD,ST,,,,2222 E 3RD ST,S ROOSERVELT,,,,Y,OTHER,25,W,39.163303,-86.50644483,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,2222E3RDSTSROOSERVELTST,1,LANE CONTROL
INDIANA UNIV BLOOMINGTON PD,132530,MONROE,BLOOMINGTON,BLOOMINGTON,9/23/13,7:04 PM,1,0,1,0,0,,10TH,ST,,,,10TH ST,WOODLAWN,,,,Y,OTHER,,,39.17164028,-86.52349971,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAWN/DUSK,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,10THSTWOODLAWNAVE,1,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,131437,MONROE,BLOOMINGTON,BLOOMINGTON,5/7/13,1:57 PM,1,0,1,0,0,,,,SR45,,,SR45,,SR46,,,Y,OTHER,1286,E,39.17152599,-86.49774101,STATE ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,SR45SR46,1,LANE CONTROL
BLOOMINGTON PD,82113210,MONROE,BLOOMINGTON,BLOOMINGTON,8/21/13,4:43 PM,1,0,1,0,0,,LINCOLN,ST,,,,S LINCOLN ST,1ST,,,,Y,OTHER,400,N,39.17889057,-86.53084992,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,EFIRSTSTSLINCOLNST,1,NONE
INDIANA UNIV BLOOMINGTON PD,132541,MONROE,BLOOMINGTON,BLOOMINGTON,9/24/13,5:31 PM,1,0,1,0,0,,THIRD,ST,,,,THIRD ST,HENDERSON,,,,Y,OTHER,,,39.16427777,-86.52588752,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,IMPROPER LANE USAGE,UNDER $1001,SAME DIRECTION SIDESWIPE,HENDERSONSTTHIRDST,1,NONE
