Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
INDIANA UNIV BLOOMINGTON PD,220099,MONROE,BLOOMINGTON,BLOOMINGTON,1/13/22,11:08 AM,1,0,0,0,0,701,EAST 17TH,ST,,,,EAST 17TH,,,,,Y,,,,39.1809087,-86.5255927,OTHER,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,CONCRETE,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,LEFT TURN,EAST17THST,1,OTHER
BLOOMINGTON PD,B22-42343,MONROE,BLOOMINGTON,BLOOMINGTON,10/13/22,1:31 PM,1,,0,0,0,421,E 3RD ST,,,,,E 3RD ST,,,,,Y,,0,,39.16478261,-86.52864764,PRIVATE DRIVE,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,$2501 TO $5000,OTHER - EXPLAIN IN NARRATIVE,E3RDST,0,
MONROE SD,M22A816,MONROE,RICHLAND,BLOOMINGTON,1/11/22,3:19 PM,2,0,0,0,0,,,,SR46W,,,SR46W,W ARLINGTON,,,,N,,,,39.207648,-86.573792,STATE ROAD,Y,N,N,RURAL,N,N,B,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,$1001 TO $2500,REAR END,SR46WWARLINGTONRD,0,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,B22-02628,MONROE,BLOOMINGTON,BLOOMINGTON,1/24/22,4:27 AM,2,,0,0,0,,N DUNN ST,,,,,N DUNN ST,E KIRKWOOD AVE,,,,Y,,0,,39.16656118,-86.52826256,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT ANGLE,NDUNNSTEKIRKWOODAVE,0,
ELLETTSVILLE PD,E2200105,MONROE,RICHLAND,ELLETTSVILLE,1/8/22,8:35 AM,1,0,0,0,1,,,,SR46W,,,SR46W,DEER PARK,,,,Y,,100,W,39.21215347,-86.58752598,STATE ROAD,,N,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,$2501 TO $5000,COLLISION WITH DEER,DEERPARKDRSR46W,0,LANE CONTROL
MONROE SD,M22A1270,MONROE,CLEAR CREEK,BLOOMINGTON,1/17/22,7:29 PM,1,,0,0,0,,S FAIRFAX RD,,,,,S FAIRFAX RD,S MCCORMICK LN,,,,N,,738,,0,0,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DARK (NOT LIGHTED),CLOUDY,DRY,,NO JUNCTION INVOLVED,,ASPHALT,OTHER (VEHICLE) - EXPLAIN IN NARRATIVE,$2501 TO $5000,RAN OFF ROAD,SMCCORMICKLNSFAIRFAXRD,0,
BLOOMINGTON PD,B22-00459,MONROE,PERRY,BLOOMINGTON,1/5/22,3:07 AM,2,,1,0,0,,S COLLEGE AVE,,,,,S COLLEGE AVE,W 1ST ST,,,,Y,,0,,39.15940993,-86.53496451,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,DISREGARD SIGNAL/REG SIGN,$10001 TO $25000,RIGHT ANGLE,W1STSTSCOLLEGEAVE,0,
INDIANA UNIV BLOOMINGTON PD,220063,MONROE,PERRY,BLOOMINGTON,1/10/22,4:05 PM,2,,0,0,0,,E 3RD ST,,,,,E 3RD ST,S JORDAN AVE,,,,Y,,264,,39.16424721,-86.51587821,LOCAL/CITY ROAD,,,,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,FOUR-WAY INTERSECTION,,ASPHALT,IMPROPER TURNING,$5001 TO $10000,LEFT TURN,SJORDANAVEE3RDST,0,
MONROE SD,M22A1238,MONROE,CLEAR CREEK,BLOOMINGTON,1/17/22,11:17 AM,2,,0,0,0,,WEST POPCORN ROAD,,,,,WEST POPCORN ROAD,SOUTH KETCHAM ROAD,,,,N,,1500,,39.0117416,-86.5619147,,,,,RURAL,N,N,N,,DAYLIGHT,CLOUDY,ICE,,NO JUNCTION INVOLVED,,ASPHALT,LEFT OF CENTER,$2501 TO $5000,OPPOSITE DIRECTION SIDESWIPE,WESTPOPCORNROADSOUTHKETCHAMROAD,0,
MONROE SD,M22A1100,MONROE,,BLOOMINGTON,1/15/22,9:13 AM,1,,0,0,0,,N MT GILEAD RD,,,,,N MT GILEAD RD,N GETTY'S CREEK RD,,,,N,,1000,,39.193437,-86.436407,LOCAL/CITY ROAD,,,,RURAL,N,N,N,,DAYLIGHT,SNOW,ICE,,NO JUNCTION INVOLVED,,ASPHALT,ROADWAY SURFACE CONDITION,$1001 TO $2500,RAN OFF ROAD,NMTGILEADRDNGETTY'SCREEKRD,0,
