Agency,Local Code,County,Township,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Name,Roadway Suffix,Roadway Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Intersecting Road Number,Mile Marker,Interchange,Corporate Limits?,Property Type,Feet From,Direction,Latitude,Longitude,Roadway Class,Traffic Control Devices?,Aggressive Driving?,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Damage Estimate,Manner of Collision,Unique Location Id,State Property Damage?,Traffic Control
BLOOMINGTON PD,13113319,MONROE,PERRY,BLOOMINGTON,1/31/13,8:55 PM,1,0,1,0,0,,COVENANTER,DR,,,,COVENANTER DR,STRATUM,,,,Y,OTHER,,,1,1,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DARK (LIGHTED),SLEET/HAIL/FREEZING RAIN,ICE,NONE,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,COVENANTERDRSTRATUMWAY,1,NONE
MONROE SD,M13A490,MONROE,VAN BUREN,BLOOMINGTON,2/19/13,9:15 PM,1,0,1,0,0,2911,S LEONARD SPRINGS,RD,,,,S LEONARD SPRINGS RD,,,,,N,PRIVATE,,,39.13514057,-86.58250286,OTHER,,Y,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,UNSAFE BACKING,UNDER $1001,NON-COLLISION,SLEONARDSPRINGSRD,1,NONE
INDIANA UNIV BLOOMINGTON PD,130722,MONROE,BLOOMINGTON,BLOOMINGTON,3/4/13,1:45 PM,1,0,0,0,0,,ROSE,AVE,,,,ROSE AVE,JONES,,,,Y,OTHER,250,N,39.19172672,-86.51090003,LOCAL/CITY ROAD,,Y,Y,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,IMPROPER PASSING,UNDER $1001,OTHER - EXPLAIN IN NARRATIVE,JONESAVEROSEAVE,1,NONE
BLOOMINGTON PD,70813223,MONROE,PERRY,BLOOMINGTON,7/8/13,5:28 PM,1,0,1,0,0,,HILLSIDE,DR,,,,E HILLSIDE DR,NANCY,,,,Y,OTHER,75,W,39.150544,-86.51135256,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,EHILLSIDEDRNANCYST,1,NO PASSING ZONE
BLOOMINGTON PD,72713230,MONROE,BLOOMINGTON,BLOOMINGTON,7/27/13,7:20 PM,1,0,1,0,0,,9TH,ST,,,,E 9TH ST,WALNUT,,,,Y,OTHER,,,39.170544,-86.533536,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,E9THSTNWALNUTST,1,STOP SIGN
BLOOMINGTON PD,101513144,MONROE,BLOOMINGTON,BLOOMINGTON,10/15/13,3:07 PM,1,0,1,0,0,,17TH,ST,,,,930 W 17TH ST,MONROE,,,,Y,OTHER,300,E,39.1792045,-86.54604821,LOCAL/CITY ROAD,,N,N,URBAN,Y,N,N,,DAYLIGHT,RAIN,WET,NONE,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,PEDESTRIAN ACTION,$1001 TO $2500,HEAD ON BETWEEN TWO MOTOR VEHICLES,930W17THSTMONROEST,1,NONE
MONROE SD,M13A3270,MONROE,RICHLAND,BLOOMINGTON,10/24/13,3:08 PM,1,0,1,0,0,,,,SR48W,,,SR48W,PARK SQUARE,,,,N,OTHER,,,39.16424942,-86.5925064,STATE ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,RIGHT TURN,PARKSQUAREDRSR48W,1,TRAFFIC CONTROL SIGNAL
INDIANA UNIV BLOOMINGTON PD,140079,MONROE,BLOOMINGTON,BLOOMINGTON,1/14/14,3:50 PM,1,0,1,0,0,,E LAW,LN,,,,E LAW LN,FEE,,,,Y,OTHER,,,39.17360135,-86.51666031,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,RAIN,WET,NONE,T-INTERSECTION,STRAIGHT/GRADE,ASPHALT,PEDESTRIAN ACTION,UNDER $1001,RIGHT ANGLE,ELAWLNFEELN,1,NONE
BLOOMINGTON PD,12714136,MONROE,BLOOMINGTON,BLOOMINGTON,1/27/14,2:35 PM,1,0,1,0,0,,15TH,ST,,,,15TH ST,N WALNUT,,,,Y,OTHER,,,39.176848,-86.533424,LOCAL/CITY ROAD,,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,LOOSE MATERIAL ON ROAD,NONE,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,15THSTNWALNUTST,1,STOP SIGN
BLOOMINGTON PD,20114010,MONROE,BLOOMINGTON,BLOOMINGTON,1/31/14,11:10 PM,1,0,1,0,0,,S LINCOLN,,,,,S LINCOLN,KIRKWOOD,,,,Y,OTHER,,,39.16664,-86.530992,LOCAL/CITY ROAD,,N,Y,URBAN,N,N,N,,DARK (LIGHTED),RAIN,WET,NONE,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,HEAD ON BETWEEN TWO MOTOR VEHICLES,KIRKWOODAVESLINCOLN,1,STOP SIGN
INDIANA UNIV BLOOMINGTON PD,140370,MONROE,BLOOMINGTON,BLOOMINGTON,2/4/14,10:30 PM,1,0,1,0,0,,FACULTY,AVE,,,,FACULTY AVE,THIRD,,,,Y,OTHER,,,39.16425212,-86.52107176,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,SNOW/SLUSH,NONE,T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,DRIVER DISTRACTED - EXPLAIN IN NARRATIVE,UNDER $1001,SAME DIRECTION SIDESWIPE,FACULTYAVETHIRDST,1,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,31014121,MONROE,BLOOMINGTON,BLOOMINGTON,3/10/14,11:31 AM,1,0,1,0,0,,COLLEGE,AVE,,,,COLLEGE AVE,7TH,,,,Y,OTHER,,,39.168656,-86.534784,LOCAL/CITY ROAD,Y,N,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,NONE,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,UNDER $1001,RIGHT TURN,7THSTCOLLEGEAVE,1,TRAFFIC CONTROL SIGNAL
