Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
BLOOMINGTON PD,BLOOMINGTON,1/1/2019,6:39 PM,2,0,1,0,0,,,,SR 45,N PETE ELLIS DR,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (NOT LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,E1OTHSTNPETEELLISDR,TRAFFIC CONTROL SIGNAL
BLOOMINGTON PD,BLOOMINGTON,1/1/2019,8:00 AM,1,0,0,0,0,2215,,,E COVENANTER,,,,,39.15555,-86.50447,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (NOT LIGHTED),RAIN,WET,,T-INTERSECTION,CURVE/LEVEL,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,ECONVENANTERDR,NONE
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/1/2019,12:47 PM,1,0,1,0,0,,,,N JORDAN,E 7TH ST,,,,39.169065,-86.516155,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,WET,,FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,DISREGARD SIGNAL/REG SIGN,OTHER - EXPLAIN IN NARRATIVE,7THSTJORDANAVE,STOP SIGN
BLOOMINGTON PD,BLOOMINGTON,1/1/2019,1:50 AM,2,0,0,0,0,,,,N WALNUT,W 8TH ST,,100,N,39.16891463,-86.53356318,LOCAL/CITY ROAD,Y,URBAN,,,N,,DARK (LIGHTED),CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,WRONG WAY ON ONE WAY,OPPOSITE DIRECTION SIDESWIPE,7THSTWALNUTST,NONE
BLOOMINGTON PD,BLOOMINGTON,1/1/2019,3:28 AM,2,0,0,0,0,,,,W 7TH,N WALDRON ST,,,,39.168752,-86.5436,LOCAL/CITY ROAD,Y,URBAN,N,N,N,,DARK (LIGHTED),CLEAR,DRY,,FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,OTHER (DRIVER) - EXPLAIN IN NARRATIVE,OTHER - EXPLAIN IN NARRATIVE,NWALDRONSTW7THST,NONE
MONROE SD,BLOOMINGTON,1/1/2019,4:55 AM,1,0,1,0,0,,,,W ARLINGTON,,,840,W,39.20772792,-86.57433221,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DARK (LIGHTED),CLOUDY,WET,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,ARLINGTONRDRAJUMIST,LANE CONTROL
BLOOMINGTON PD,BLOOMINGTON,1/2/2019,1:27 PM,2,0,0,0,0,,,,SR 45,I-69 S,,,,0,0,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,DRY,,RAMP,CURVE/LEVEL,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,SBRAMPONTOSR37RAMPW3RDST,YIELD SIGN
INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,1/2/2019,10:27 AM,1,0,0,0,0,,,,N INDIANA,E 17TH ST,,25,S,39.17637542,-86.52705,UNKNOWN,N,URBAN,N,N,N,,DAYLIGHT,CLOUDY,MUDDY,,NO JUNCTION INVOLVED,STRAIGHT/LEVEL,GRAVEL,IMPROPER TURNING,OTHER - EXPLAIN IN NARRATIVE,17THSTINDIANAAVE,NONE
ISP BLOOMINGTON 33,BLOOMINGTON,1/2/2019,9:12 AM,2,0,0,0,0,,,,N WALNUT,E 14TH ST,,,,39.175952,-86.53344,LOCAL/CITY ROAD,N,URBAN,N,N,N,,DAYLIGHT,CLEAR,DRY,,NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,UNSAFE LANE MOVEMENT,LEFT/RIGHT TURN,14THSTWALNUTST,LANE CONTROL
MONROE SD,BLOOMINGTON,1/2/2019,1:30 PM,2,0,2,0,0,,,,SR 45,W DINSMORE RD,,300,W,39.11460543,-86.63189064,STATE ROAD,N,RURAL,N,N,N,,DAYLIGHT,CLOUDY,DRY,,NO JUNCTION INVOLVED,CURVE/GRADE,ASPHALT,LEFT OF CENTER,HEAD ON BETWEEN TWO MOTOR VEHICLES,DINSMORERDSR45W,NONE
