_id,Agency,City,Collision Date,Collision Time,Vehicles Involved,Trailers Involved,Number Injured,Number Dead,Number Deer,House Number,Roadway Interchange,Roadway Ramp,Roadway Id,Intersecting Road,Interchange,Feet From,Direction,Latitude,Longitude,Roadway Class,Hit and Run?,Locality,School Zone?,Rumble Strips?,Construction?,Construction Type,Light Condition,Weather Conditions,Surface Condition,Type of Median,Roadway Junction Type,Road Character,Roadway Surface,Primary Factor,Manner of Collision,Unique Location Id,Traffic Control
1,MONROE SD,BLOOMINGTON,2022-01-07T00:00:00,5:14 AM,1,0,0,0,0,"","","",I69N,STATE RD 37,"",9500,S,38.32972271,-86.5092264,INTERSTATE,N,RURAL,N,N,N,"",DARK (NOT LIGHTED),CLEAR,DRY,"",NO JUNCTION INVOLVED,STRAIGHT/GRADE,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH ANIMAL OTHER,I69NSTATERD37RD,NONE
2,ELLETTSVILLE PD,ELLETTSVILLE,2022-01-08T00:00:00,8:35 AM,1,0,0,0,1,"","","",SR46W,DEER PARK,"",100,W,39.21215347,-86.58752598,STATE ROAD,N,URBAN,N,N,N,"",DARK (NOT LIGHTED),CLOUDY,DRY,"",T-INTERSECTION,CURVE/LEVEL,ASPHALT,ANIMAL/OBJECT IN ROADWAY,COLLISION WITH DEER,DEERPARKDRSR46W,LANE CONTROL
3,MONROE SD,ELLETTSVILLE,2022-01-17T00:00:00,7:33 AM,1,0,0,0,0,9541,"","",W REEVES,"","",,"",39.23501246,-86.67655273,LOCAL/CITY ROAD,N,RURAL,N,N,N,"",DAWN/DUSK,CLEAR,ICE,"",NO JUNCTION INVOLVED,CURVE/HILLCREST,ASPHALT,RAN OFF ROAD RIGHT,RAN OFF ROAD,WREEVESRD,NONE
4,INDIANA UNIV BLOOMINGTON PD,BLOOMINGTON,2022-01-04T00:00:00,12:32 PM,2,0,0,0,0,"","","",THIRD,S HAWTHORNE,"",,"",39.15688773,-86.52032385,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,UNSAFE LANE MOVEMENT,SAME DIRECTION SIDESWIPE,SHAWTHORNEDRTHIRDST,TRAFFIC CONTROL SIGNAL
5,BLOOMINGTON PD,BLOOMINGTON,2022-01-01T00:00:00,5:33 AM,2,0,0,0,0,"","","",S HENDERSON,E HILLSIDE,"",,"",39.15064,-86.52696,LOCAL/CITY ROAD,N,URBAN,Y,N,N,"",DARK (LIGHTED),RAIN,WET,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,FAILURE TO YIELD RIGHT OF WAY,RIGHT ANGLE,EHILLSIDEDRSHENDERSONST,TRAFFIC CONTROL SIGNAL
6,MONROE SD,BLOOMINGTON,2022-01-03T00:00:00,8:56 AM,1,0,0,0,0,"","","",W REEVES,GILMORE,"",750,E,39.231648,-86.671296,LOCAL/CITY ROAD,N,RURAL,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",T-INTERSECTION,STRAIGHT/HILLCREST,ASPHALT,ANIMAL/OBJECT IN ROADWAY,RAN OFF ROAD,GILMORERDWREEVESRD,NONE
7,MONROE SD,BLOOMINGTON,2022-01-08T00:00:00,12:45 PM,2,0,0,0,0,3585,"","",WEST STATE ROAD 45,"","",,"",39.141477,-86.58021,OTHER,N,RURAL,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",T-INTERSECTION,CURVE/GRADE,ASPHALT,FOLLOWING TOO CLOSELY,REAR END,WESTSTATEROAD45RD,YIELD SIGN
8,BLOOMINGTON PD,BLOOMINGTON,2022-01-02T00:00:00,4:00 PM,2,0,0,0,0,"","","",SR46W,N KINSER,"",,"",39.186437,-86.537723,STATE ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLOUDY,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/LEVEL,ASPHALT,IMPROPER TURNING,LEFT TURN,NKINSERPIKESR46W,TRAFFIC CONTROL SIGNAL
9,ELLETTSVILLE PD,ELLETTSVILLE,2022-05-18T00:00:00,1:03 PM,1,0,0,0,0,"","","",SR46W,LAKEVIEW,"",,"",39.221152,-86.6056,STATE ROAD,N,URBAN,N,N,N,"",DAYLIGHT,RAIN,WET,"",NO JUNCTION INVOLVED,STRAIGHT/LEVEL,ASPHALT,SPEED TOO FAST FOR WEATHER CONDITIONS,RAN OFF ROAD,LAKEVIEWDRSR46W,NONE
10,ELLETTSVILLE PD,ELLETTSVILLE,2022-04-12T00:00:00,4:28 PM,2,0,0,0,0,"","","",SALE,TEMPERANE,"",30,N,39.23764049,-86.62577999,LOCAL/CITY ROAD,N,URBAN,N,N,N,"",DAYLIGHT,CLEAR,DRY,"",FOUR-WAY INTERSECTION,STRAIGHT/GRADE,ASPHALT,IMPROPER PASSING,LEFT TURN,SALESTTEMPERANEST,TRAFFIC CONTROL SIGNAL
